"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","Factory_Tuner","Luxury","Performance","Flex_Fuel","Hatchback","Hybrid","Diesel","Exotic","Crossover","log_MSRP","obs_number"
"BMW","1 Series M","2011","regular",335,"6","MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",26,19,3916,46135,1,1,1,0,0,0,0,0,0,10.7393271600127+0i,1
"BMW","1 Series","2011","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,19,3916,40650,0,1,1,0,0,0,0,0,0,10.612754114976+0i,2
"BMW","1 Series","2011","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,36350,0,1,1,0,0,0,0,0,0,10.5009494829617+0i,3
"BMW","1 Series","2011","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,18,3916,29450,0,1,1,0,0,0,0,0,0,10.2904491890797+0i,4
"BMW","1 Series","2011","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,18,3916,34500,0,1,0,0,0,0,0,0,0,10.4487146030195+0i,5
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,18,3916,31200,0,1,1,0,0,0,0,0,0,10.3481733737976+0i,6
"BMW","1 Series","2012","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",26,17,3916,44100,0,1,1,0,0,0,0,0,0,10.6942150614349+0i,7
"BMW","1 Series","2012","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,39300,0,1,1,0,0,0,0,0,0,10.5789797978574+0i,8
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,18,3916,36900,0,1,0,0,0,0,0,0,0,10.5159668300286+0i,9
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",27,18,3916,37200,0,1,0,0,0,0,0,0,0,10.5240640402612+0i,10
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,39600,0,1,1,0,0,0,0,0,0,10.5865843972426+0i,11
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,19,3916,31500,0,1,1,0,0,0,0,0,0,10.3577428248137+0i,12
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,19,3916,44400,0,1,1,0,0,0,0,0,0,10.7009947484203+0i,13
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,19,3916,37200,0,1,0,0,0,0,0,0,0,10.5240640402612+0i,14
"BMW","1 Series","2013","regular",320,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",25,18,3916,48250,0,1,1,0,0,0,0,0,0,10.7841511067671+0i,15
"BMW","1 Series","2013","regular",320,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,43550,0,1,1,0,0,0,0,0,0,10.6816649822806+0i,16
"Audi","100","1992","regular",172,"6","MANUAL","front wheel drive",4,"Luxury","Midsize","car",24,17,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,17
"Audi","100","1992","regular",172,"6","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",20,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,18
"Audi","100","1992","regular",172,"6","MANUAL","all wheel drive",4,"Luxury","Midsize","car",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,19
"Audi","100","1993","regular",172,"6","MANUAL","front wheel drive",4,"Luxury","Midsize","car",24,17,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,20
"Audi","100","1993","regular",172,"6","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",20,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,21
"Audi","100","1993","regular",172,"6","MANUAL","all wheel drive",4,"Luxury","Midsize","car",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,22
"Audi","100","1994","regular",172,"6","AUTOMATIC","front wheel drive",4,"Luxury","Midsize","car",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,23
"Audi","100","1994","regular",172,"6","MANUAL","all wheel drive",4,"Luxury","Midsize","car",22,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,24
"Audi","100","1994","regular",172,"6","MANUAL","front wheel drive",4,"Luxury","Midsize","car",22,17,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,25
"Audi","100","1994","regular",172,"6","AUTOMATIC","front wheel drive",4,"Luxury","Midsize","car",22,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,26
"Audi","100","1994","regular",172,"6","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","car",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,27
"FIAT","124 Spider","2017","regular",160,"4","MANUAL","rear wheel drive",2,"Performance","Compact","car",35,26,819,26895,0,0,1,0,0,0,0,0,0,10.1996956747073+0i,28
"Mercedes-Benz","190-Class","1991","regular",130,"4","MANUAL","rear wheel drive",4,"Luxury","Compact","car",26,18,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,29
"Mercedes-Benz","190-Class","1991","regular",158,"6","MANUAL","rear wheel drive",4,"Luxury","Compact","car",25,17,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,30
"Mercedes-Benz","190-Class","1992","regular",158,"6","MANUAL","rear wheel drive",4,"Luxury","Compact","car",25,17,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,31
"Mercedes-Benz","190-Class","1992","regular",130,"4","MANUAL","rear wheel drive",4,"Luxury","Compact","car",26,18,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,32
"Mercedes-Benz","190-Class","1993","regular",130,"4","MANUAL","rear wheel drive",4,"Luxury","Compact","car",26,18,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,33
"Mercedes-Benz","190-Class","1993","regular",158,"6","MANUAL","rear wheel drive",4,"Luxury","Compact","car",25,17,617,2000,0,1,0,0,0,0,0,0,0,7.60090245954208+0i,34
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",35,23,3916,32850,0,1,1,0,0,0,0,0,0,10.3997070239128+0i,35
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury","Compact","car",34,23,3916,38650,0,1,0,0,0,0,0,0,0,10.5623020540156+0i,36
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",31,20,3916,46450,1,1,1,0,0,0,0,0,0,10.746131744242+0i,37
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","car",35,23,3916,34850,0,1,1,0,0,0,0,0,0,10.4588084161887+0i,38
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","all wheel drive",2,"Luxury","Compact","car",34,22,3916,40650,0,1,0,0,0,0,0,0,0,10.612754114976+0i,39
"BMW","2 Series","2016","regular",240,"4","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",34,22,3916,32850,0,1,1,0,0,0,0,0,0,10.3997070239128+0i,40
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",30,20,3916,46150,1,1,1,0,0,0,0,0,0,10.739652239931+0i,41
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",30,20,3916,50750,1,1,1,0,0,0,0,0,0,10.834666896904+0i,42
"BMW","2 Series","2017","regular",335,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",31,21,3916,46450,1,1,1,0,0,0,0,0,0,10.746131744242+0i,43
"BMW","2 Series","2017","regular",335,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",32,21,3916,46750,1,1,1,0,0,0,0,0,0,10.7525695347168+0i,44
"BMW","2 Series","2017","regular",335,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",32,21,3916,51050,1,1,1,0,0,0,0,0,0,10.8405608235928+0i,45
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",34,23,3916,38950,0,1,1,0,0,0,0,0,0,10.5700340512989+0i,46
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",35,24,3916,33150,0,1,1,0,0,0,0,0,0,10.408797995614+0i,47
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","car",33,24,3916,35150,0,1,1,0,0,0,0,0,0,10.4673798972388+0i,48
