"predictors","val_mae","val_rmse","val_rsq","train_rmse","train_rsquared","train_mae","val_rmse_orig","val_rsq_orig","val_mae_orig","train_rmse_orig","train_rsq_orig","train_mae_orig","aic","apc","fpe","hsp","msep","rmse","press","sbc_SAS","sbc_R","pred_rsq","rsq","adj_rsq","test_rmse","test_rsquared","test_mae","fstat","f_num_df","f_denom_df","predictor_count","best_per_metric","predictor_count_limited","max_allowed_predictors"
"city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Luxury  Hatchback  Hybrid  Diesel  Exotic  Crossover",0.128349137709198,0.17675413184621,0.938933934149031,0.186040026516253,0.91978580347068,0.138542865134324,25797.601497401,0.86638952630926,9576.53023117958,23750.1462945089,0.834356831448803,9459.15901512606,-2097.83304151883,0.080803717816895,0.0349680554567281,8.53724501070105e-06,142.322004182828,0.186656092557063,144.06497510086,-13556.0291051042,-1920.92875374752,0.918505012627662,0.91978580347068,0.919273378627986,0.197800215353122,0.917336806589723,0.148583195222332,1794.96723585068,26,4070,14,"val_mae","No",0
"Age  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover",0.129189225978767,0.174104812092621,0.940748550273869,0.181040277692513,0.924039316055444,0.134350563521134,24679.795738949,0.877287779868209,9504.60786139573,23479.8722076897,0.83763542670172,9304.14868584529,-2317.05654348889,0.0765936896440936,0.0331462008241605,8.09248174850695e-06,134.841187653585,0.18168443260819,136.660928556649,-13762.6165865191,-2127.51623516249,0.92269334972488,0.924039316055444,0.923516479489454,0.190846994893457,0.923000255001532,0.142382459692839,1767.35786317022,28,4068,16,"val_rmse  val_rsq","No",0
"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Popularity",0.129287972769412,0.175195157285464,0.939927008435967,0.178742663971666,0.925955141940009,0.133028672402326,24432.2716802626,0.879068051108423,9475.57982204379,23102.6174302543,0.84241406294223,9189.23410715719,-2417.71354962605,0.0747348297633452,0.0323418191652484,7.89613074649385e-06,131.50479887927,0.17942275511611,133.357242990892,-13850.6375721012,-2215.53722074455,0.924562185736374,0.925955141940009,0.925408819819547,0.188679479147865,0.924706220004731,0.140414868501074,1694.88861471774,30,4066,18,"rmse  aic  apc  fpe  hsp  msep  sbc_SAS  sbc_R  press  pred_rsq  adj_rsq","No",0
"Age  highway_MPG  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover  Popularity",0.129302604511657,0.175027567210636,0.940042932712401,0.178701215690981,0.925989478188067,0.132907314776286,24391.6095423557,0.879409020591719,9481.89637802454,23080.5471916918,0.842693595918875,9184.46174272072,-2415.61386031975,0.0747731424979243,0.0323584460254653,7.90022873491696e-06,131.508329481176,0.179425282763569,133.405557431644,-13835.9018622398,-2200.80151088316,0.92453485511881,0.925989478188067,0.9254067181738,0.188610781822902,0.924752726089074,0.140256153512636,1588.97222787752,32,4064,20,"rsq  train_rmse","No",0
"Age  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover  Popularity",0.129401360481867,0.174969196149089,0.940094500950089,0.178980921549834,0.925757612082562,0.132759982950623,24500.4109351722,0.878355549296793,9516.21455572144,23205.8711708618,0.841017649721163,9207.22803787574,-2404.79851375365,0.0749707900554556,0.0324439554828865,7.92108581673644e-06,131.887964190823,0.179684016509588,133.775577237776,-13831.4045259512,-2196.30417459461,0.924325541512868,0.925757612082562,0.925191433970522,0.189109869122715,0.924376724131251,0.140380104134959,1635.09961334918,31,4065,19,"train_mae","No",0
"Age  highway_MPG  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Factory_Tuner  Performance  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover",0.132525827963764,0.178213647902121,0.937829865318463,0.181426633757218,0.9237147563853,0.135349170168203,23828.1967398069,0.884627615855566,9559.24023102171,22772.7309477087,0.846768984312195,9250.66024024088,-2299.58845085399,0.0769960918877158,0.0333040083737794,8.13104554069906e-06,135.483757844191,0.182072163356813,137.260121193087,-13745.1484938842,-2110.04814252758,0.922354397135565,0.9237147563853,0.923189685878611,0.190173079353424,0.923274165310848,0.141541888527745,1759.22041824393,28,4068,18,"val_rmse_orig","No",0
"Age  highway_MPG  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover",0.132125748783041,0.177705327327303,0.938214757020126,0.182187313278296,0.923073722909589,0.135918116625028,23861.5656340076,0.884691028784421,9512.15256041092,22772.2017546104,0.84689163221998,9249.51779512721,-2267.30474342541,0.0776052047626966,0.0335674547670203,8.19534640610657e-06,136.588740821655,0.182813081162434,138.342690780805,-13719.1827967332,-2084.08244537655,0.921742006824741,0.923073722909589,0.922563275752686,0.190180946364097,0.923281669358429,0.142229856015787,1808.36294301031,27,4069,17,"val_rsq_orig","No",0
"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Driven_Wheels  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover  Popularity",0.129282136956042,0.174619766254964,0.940360010249787,0.179536198470855,0.925296232921974,0.133578177748641,24383.6106688046,0.879901645274001,9466.00595743041,23050.2371581807,0.843245152749565,9182.68615127974,-2381.41650282615,0.0753998786888564,0.0326296219494794,7.9663966892314e-06,132.67503135951,0.180219308904447,134.523270907478,-13814.3405253013,-2179.24017394465,0.923902584537183,0.925296232921974,0.924745049200296,0.188596106173379,0.924765626427598,0.141034316963339,1678.74375916954,30,4066,18,"val_mae_orig","No",0
"Age  highway_MPG  city_mpg  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover  Popularity",0.132148947788618,0.177901290755725,0.938092797110306,0.181432953564484,0.92370944165919,0.135303759050033,23925.961160554,0.884017712091484,9508.40371310288,22654.2860965583,0.848418756978869,9178.73415692323,-2299.30302639477,0.0770014561380025,0.0333063286348743,8.1316120235205e-06,135.49319687894,0.182078505650428,137.257269802163,-13744.863069425,-2109.76271806836,0.922356010116563,0.92370944165919,0.923184334571298,0.189398463732802,0.923915332376376,0.141355684749293,1759.08774221312,28,4068,18,"train_rmse_orig","No",0
"Age  highway_MPG  Engine_Cylinders  Engine_HP  Transmission_Type  Number_of_Doors  Vehicle_Style  Vehicle_Size  Factory_Tuner  Luxury  Flex_Fuel  Hatchback  Hybrid  Diesel  Exotic  Crossover  Popularity",0.132106256574789,0.177902047784458,0.938092480936659,0.181435720634583,0.923707114596454,0.135323644504812,23932.0134162717,0.883969351766492,9507.34100895202,22654.4449664795,0.848418797050624,9179.54011998473,-2301.17805902224,0.0769662229555257,0.0332910687568971,8.12786797765609e-06,135.464103360595,0.182058906985848,137.196567844207,-13753.05611233,-2117.95576097338,0.922390348131709,0.923707114596455,0.923200870333516,0.189419683801635,0.923898023661017,0.141436806334654,1824.62732364659,27,4069,17,"train_rsq_orig","No",0
