"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","Factory_Tuner","Luxury","Performance","Flex_Fuel","Hatchback","Hybrid","Diesel","Exotic","Crossover","log_MSRP","obs_number"
"BMW","1 Series M","2011","regular",335,"6","MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",26,19,3916,46135,1,1,1,0,0,0,0,0,0,10.7393271600127,1
"BMW","1 Series","2011","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,36350,0,1,1,0,0,0,0,0,0,10.5009494829617,3
"BMW","1 Series","2011","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,29450,0,1,1,0,0,0,0,0,0,10.2904491890797,4
"BMW","1 Series","2011","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,34500,0,1,0,0,0,0,0,0,0,10.4487146030195,5
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",28,18,3916,31200,0,1,1,0,0,0,0,0,0,10.3481733737976,6
"BMW","1 Series","2012","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",26,17,3916,44100,0,1,1,0,0,0,0,0,0,10.6942150614349,7
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,18,3916,36900,0,1,0,0,0,0,0,0,0,10.5159668300286,9
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",27,18,3916,37200,0,1,0,0,0,0,0,0,0,10.5240640402612,10
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",28,20,3916,39600,0,1,1,0,0,0,0,0,0,10.5865843972426,11
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",28,19,3916,44400,0,1,1,0,0,0,0,0,0,10.7009947484203,13
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","Convertible",28,19,3916,37200,0,1,0,0,0,0,0,0,0,10.5240640402612,14
"BMW","1 Series","2013","regular",320,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",25,18,3916,48250,0,1,1,0,0,0,0,0,0,10.7841511067671,15
"Audi","100","1992","regular",172,"6","MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,17
"Audi","100","1992","regular",172,"6","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,18
"Audi","100","1992","regular",172,"6","MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,19
"Audi","100","1993","regular",172,"6","MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",24,17,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,20
"Audi","100","1993","regular",172,"6","AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Wagon",20,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,21
"Audi","100","1994","regular",172,"6","AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Wagon",21,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,23
"Audi","100","1994","regular",172,"6","MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",22,16,3105,2000,0,1,0,0,0,0,0,0,0,7.60090245954208,24
