"Make","Model","Year","Engine_Fuel_Type","Engine_HP","Engine_Cylinders","Transmission_Type","Driven_Wheels","Number_of_Doors","Market_Category","Vehicle_Size","Vehicle_Style","highway_MPG","city_mpg","Popularity","MSRP","Factory_Tuner","Luxury","Performance","Flex_Fuel","Hatchback","Hybrid","Diesel","Exotic","Crossover","Age","log_MSRP","obs_number"
"BMW","1 Series M","2011","regular",335,"6","MANUAL","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",26,19,3916,46135,1,1,1,0,0,0,0,0,0,7,10.7393271600127,1
"BMW","1 Series","2011","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,36350,0,1,1,0,0,0,0,0,0,7,10.5009494829617,3
"BMW","1 Series","2011","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,18,3916,34500,0,1,0,0,0,0,0,0,0,7,10.4487146030195,5
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,18,3916,31200,0,1,1,0,0,0,0,0,0,6,10.3481733737976,6
"BMW","1 Series","2012","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",26,17,3916,44100,0,1,1,0,0,0,0,0,0,6,10.6942150614349,7
"BMW","1 Series","2012","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,18,3916,36900,0,1,0,0,0,0,0,0,0,6,10.5159668300286,9
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",27,18,3916,37200,0,1,0,0,0,0,0,0,0,5,10.5240640402612,10
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",28,20,3916,39600,0,1,1,0,0,0,0,0,0,5,10.5865843972426,11
"BMW","1 Series","2013","regular",300,"6","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",28,19,3916,44400,0,1,1,0,0,0,0,0,0,5,10.7009947484203,13
"BMW","1 Series","2013","regular",230,"6","MANUAL","rear wheel drive",2,"Luxury","Compact","car",28,19,3916,37200,0,1,0,0,0,0,0,0,0,5,10.5240640402612,14
"BMW","1 Series","2013","regular",320,"6","MANUAL","rear wheel drive",2,"Luxury,High-Performance","Compact","car",25,18,3916,48250,0,1,1,0,0,0,0,0,0,5,10.7841511067671,15
"FIAT","124 Spider","2017","regular",160,"4","MANUAL","rear wheel drive",2,"Performance","Compact","car",35,26,819,26895,0,0,1,0,0,0,0,0,0,1,10.1996956747073,17
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",35,23,3916,32850,0,1,1,0,0,0,0,0,0,2,10.3997070239128,18
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","rear wheel drive",2,"Luxury","Compact","car",34,23,3916,38650,0,1,0,0,0,0,0,0,0,2,10.5623020540156,19
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",31,20,3916,46450,1,1,1,0,0,0,0,0,0,2,10.746131744242,20
"BMW","2 Series","2016","regular",240,"4","AUTOMATIC","all wheel drive",2,"Luxury,Performance","Compact","car",35,23,3916,34850,0,1,1,0,0,0,0,0,0,2,10.4588084161887,21
"BMW","2 Series","2016","regular",240,"4","MANUAL","rear wheel drive",2,"Luxury,Performance","Compact","car",34,22,3916,32850,0,1,1,0,0,0,0,0,0,2,10.3997070239128,23
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",30,20,3916,46150,1,1,1,0,0,0,0,0,0,2,10.739652239931,24
"BMW","2 Series","2016","regular",320,"6","AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",30,20,3916,50750,1,1,1,0,0,0,0,0,0,2,10.834666896904,25
"BMW","2 Series","2017","regular",335,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",31,21,3916,46450,1,1,1,0,0,0,0,0,0,1,10.746131744242,26
"BMW","2 Series","2017","regular",335,"6","AUTOMATIC","all wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","car",32,21,3916,51050,1,1,1,0,0,0,0,0,0,1,10.8405608235928,28
"BMW","2 Series","2017","regular",248,"4","AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","car",34,23,3916,38950,0,1,1,0,0,0,0,0,0,1,10.5700340512989,29
